Company,% Change
Birlasoft,+41.10
Ashok Leyland,+41.04
Firstobject Technolo,+41.00
Alkyl Amines Che,+40.88
SORIL Infra Resource,+40.78
The Investment Trust,+40.49
Bharat Wire Ropes Lt,+40.15
Avon Lifesciences L,+40.05
C & C Constructions,+39.90
Intec Capital,+39.84
Technocraft Industri,+39.84
JITF Infralogistics,+39.62
Elgi Equipments,+39.56
FIEM Industries,+39.53
Odyssey Technolo,+39.23
Bhartiya Interna,+39.05
Brightcom Group,+38.94
Chemo Pharma Lab,+38.84
Prakash Indus.,+38.72
Dhunseri Tea & Indus,+38.53
Metalyst Forgings,+38.50
Kopran Ltd,+38.36
Megasoft Ltd.,+38.35
Viceroy Hotels L,+38.10
GRM Overseas,+38.04
Bharat Gears,+37.98
Vivo Bio Tech Ltd.,+37.93
VIP Clothing,+37.90
B L Kashyap & Sons,+37.84
Daikaffil Chemic,+37.55
Innovative Tech,+37.46
Morarka Finance,+37.45
Concord Drugs,+37.41
Allsec Technologies,+37.36
Tata Motors Ltd.,+37.34
EIH Ltd.,+37.30
B&A Ltd.,+37.11
Apoorva Leasing Fina,+36.96
Coral Labs.,+36.91
Anisha Impex Ltd.,+36.84
Shree Rama Multi,+36.77
Everest Kanto Cylind,+36.67
Simbhaoli Sugars,+36.45
Diamines & Chem.,+36.43
Xelpmoc Design and T,+36.28
Maan Aluminium Ltd.,+36.27
Duke Offshore Lt,+36.03
Ashoka Buildcon Ltd.,+36.03
Jubilant Industries,+36.03
Gujarat Fluorochem,+35.80
United Drilling Tool,+35.75
Strides Pharma Scien,+35.66
Confidence Finance,+35.56
Munjal Showa Ltd,+35.56
CreditAccess Grameen,+35.48
Triveni Eng.&Ind.Ltd,+35.46
Apcotex Industries L,+35.44
Monnet Ispat & Energ,+35.39
Wendt India,+35.38
Talbros Auto.,+35.21
Scooters India,+35.16
CCL International Lt,+35.06
Nava Bharat Ventures,+35.06
Indian Hotels Co,+34.97
Welspun India,+34.95
Shilchar Technologie,+34.94
Finkurve Financial S,+34.85
India Home Loan,+34.85
Wallfort Financi,+34.84
IndiaMART InterMESH,+34.62
Mercury Laboratories,+34.51
Bhansali Engg.Po,+34.49
Sumeet Industrie,+34.44
Aurionpro Solutions,+34.33
Vasundhara Rasayans,+34.32
NTC Industries,+34.30
Premier Polyfilm,+34.29
Setco Automotive,+34.29
Shiva Global Agro,+34.23
Ankit Metal & Power,+34.18
Vaarad Ventures,+34.15
IFGL Refractories,+34.09
PPAP Automotive,+34.00
Indian Metal & F,+33.99
Vindhya Telelink,+33.83
SMS Lifesciences Ind,+33.83
CeejayFinance,+33.82
Cenlub Industrie,+33.72
The Hi-Tech Gears,+33.66
Technofab Engineerin,+33.64
Virat Crane Indu,+33.53
PNB Housing Finance,+33.51
Remsons Industri,+33.48
IIFL Finance,+33.46
Sportking India,+33.35
Kabra Extrusion,+33.30
HB Estate Devlpr,+33.08
Aditya Ispat,+33.06
Available Finance Lt,+32.77
Ausom Enterprise,+32.76
Zicom Electronic,+32.75
