Company,% Change
Joonktollee Tea,-6.71
Spandana Sphoorty Fi,-6.69
Majestic Research Se,-6.67
Aurobindo Pharma,-6.62
Shilpa Medicare L,-6.58
Sacheta Metals L,-6.54
7NR Retail Ltd.,-6.53
JBF Industries,-6.46
Jaypee Infratech Ltd,-6.38
Refex Industries,-6.29
TV18 Broadcast,-6.26
Mahanagar Gas,-6.26
Starlite Compone,-6.25
Abhishek Infraventur,-6.25
Alembic Pharmaceutic,-6.22
Dhanvantri Jeeva,-6.14
Renaissance Global,-6.01
NoidaTollBridge,-6.0
Shri Bajrang Allianc,-5.96
ACC,-5.93
TCI Finance,-5.86
Jet Airways,-5.81
Sri Havisha Hospital,-5.8
Narayani Steels,-5.76
INEOS Styrolution,-5.71
Kerala Ayurveda Ltd.,-5.7
Shree Cement,-5.67
Ruchi Soya Inds.,-5.65
Intense Technologies,-5.63
Superior Industrial,-5.59
Loyal Equipments Ltd,-5.56
Infosys,-5.38
Aishwarya Tech.&Tele,-5.38
Tainwala Chem.,-5.31
Bosch Ltd.,-5.26
Au Small Finance Ban,-5.26
JVL Agro Industries,-5.26
IL&FS Engineering,-5.21
Reliable Ventures In,-5.21
Onward Technolog,-5.19
Sharda Ispat Ltd,-5.16
3M India Ltd.,-5.16
Coromandel Internati,-5.14
Patel Engg. Ltd.,-5.08
Nagpur Power,-5.03
Shriram A M C,-5.0
CARE Ratings,-4.99
SAB Industries,-4.95
Super Spinning,-4.88
Ultracab (India) Ltd,-4.76
52 Weeks Ent.,-4.76
The Mandhana Retail,-4.74
Punj Lloyd,-4.73
Maximaa Systems,-4.68
UltraTech Cement,-4.66
Ramky Infrastructure,-4.54
Orient Beverages,-4.51
Mitshi India L,-4.5
BSEL Infra. Realty,-4.5
Maruti Infrastru,-4.49
Punj. & Sind Ban,-4.48
Chandra Prabhu I,-4.46
Dabur India,-4.42
Guj. Sidhee Ceme,-4.42
Duroply lndustries L,-4.38
Minaxi Textiles,-4.35
Godrej Consumer Prod,-4.35
Cybermt Infotek,-4.35
Arnold Holdings,-4.35
Maximus Intl.,-4.35
Maharashtra Corp,-4.35
Indoco Remedies,-4.33
Nutraplus India,-4.33
GE Power India,-4.32
Indian Oil Corp,-4.29
Dynemic Products,-4.27
Shree Global Tra,-4.27
Oil Country Tub.,-4.25
Mahesh Developers,-4.24
Orient Green Power C,-4.23
ICICI Pru Life,-4.21
MRF Ltd,-4.19
Syschem (India),-4.16
Krebs Biochemicals &,-4.14
Maxheights Infra,-4.11
Transformers & Recti,-4.1
Galaxy Cloud Kitchen,-4.02
Bhandari Hosiery,-4.0
Wintac Ltd.,-3.98
WABCO India,-3.94
Sharda Cropchem,-3.94
Manaksia Steels,-3.94
UCO Bank,-3.91
Cox & Kings L,-3.87
Madhusudan Secur,-3.87
Dalal Street Inv,-3.87
McDowell Holdings Lt,-3.83
AtlasCycles(Haryana),-3.8
ICICI Lombard Gen.,-3.8
Dr. Reddy's Labs,-3.79
Bhagyanagar Properti,-3.78
Syncom Healthcare Lt,-3.78
Fortis Healthcare,-3.76
GEE Ltd.,-3.75
Dr. Lal Pathlabs Ltd,-3.75
Meera Industries,-3.75
Loyal Textiles M,-3.73
Aster DM Healthcare,-3.7
Key Corp Ltd.,-3.67
Grand Foundry,-3.64
Amrapali Inds.,-3.62
Gujarat Metallic,-3.61
Pranavaditya Spi,-3.6
United Spirits,-3.46
Gyscoal Alloys Ltd.,-3.46
AksharChem (India),-3.46
Viaan Industries,-3.45
Scanpoint Geomatics,-3.41
IL&FS Transportation,-3.38
Kirloskar Bros.,-3.37
Manappuram Finance,-3.34
Kaveri Seed Company,-3.34
Trident Ltd.,-3.3
