Company,% Change
Victoria Mills,+8.81
JSL Industries,+8.74
Commercial Engineers,+8.70
Nagpur Power,+8.64
Axon Ventures,+8.62
Barak Valley Cements,+8.62
B L Kashyap & Sons,+8.51
Zodiac Ventures,+8.48
Prestige Estates Pro,+8.46
Vertex Securitie,+8.42
Blue Dart Expres,+8.41
Citadel Realty & Dev,+8.30
Sagar Diamonds,+8.24
Danube Industries L,+8.23
Sanghi Industrie,+8.20
Muthoot Capital,+8.04
Kavit Industries,+8.01
Godrej Industries Lt,+7.99
Gajra Bevel Gear,+7.94
Pooja Entertainment,+7.82
Contil India,+7.78
Tiaan Ayurvedic & He,+7.75
S R Industries L,+7.75
Prime Property Devel,+7.74
Wall Street Fina,+7.73
Upsurge Investme,+7.70
Competent Automo,+7.63
Firstobject Technolo,+7.59
Axis Bank Ltd.,+7.55
Welspun India,+7.52
Vinaditya Trading Co,+7.46
Pasari Spinning,+7.37
SE Power,+7.36
Arex Industries Ltd.,+7.34
CCL International Lt,+7.31
Innovators Facade Sy,+7.24
Luharuka Media & Inf,+7.14
City Union Bank,+7.02
Birla Tyres,+6.97
Vikas Multicorp,+6.85
Himalaya Food Inter,+6.84
Unick Fix-A-Form,+6.81
Prince Pipes & Fitti,+6.78
Mas Financial Servic,+6.73
Alembic Ltd.,+6.64
AstraZeneca Pharma I,+6.62
Essar Securities,+6.57
Wardwizard Innovatio,+6.55
Sunteck Realty Ltd.,+6.53
Betex India Ltd.,+6.36
Catvision Ltd.,+6.35
ABM Knowledgeware,+6.35
Rossell India,+6.33
PVR Ltd.,+6.26
Morepen Labs.Lt,+6.23
Blue Star,+6.21
TCFC Finance Ltd,+6.15
Arman Financial Serv,+6.12
Symbiox Investment,+6.10
Bhagwati Auto.,+6.10
Standard Surfact,+6.09
ASM Technologies Ltd,+5.99
Premier Synth.,+5.96
HIM Teknoforge,+5.95
Dish TV India Ltd.,+5.94
Kirloskar Oil Engine,+5.93
Ritesh Internati,+5.92
Brightcom Group,+5.91
Techindia Nirman Ltd,+5.85
Niyogin Fintech,+5.82
L&T Infotech,+5.82
Guj. Petrosynthe,+5.77
Moneyboxx Finance,+5.73
Globus Spirits Ltd.,+5.64
Gayatri BioOrganics,+5.61
Pritika Auto Ind.,+5.54
Sheetal Cool Product,+5.49
Eastern Silk Indust.,+5.47
Dhabriya Polywood,+5.45
ITD Cementation Indi,+5.42
Swadeshi Industr,+5.41
Anisha Impex Ltd.,+5.41
HKG Ltd,+5.38
Esaar (India) Li,+5.38
Surana Solar,+5.34
Acme Resources,+5.34
Suyog Telematics,+5.32
GOCL Corporation,+5.32
Nucleus Software,+5.31
WPIL Ltd.,+5.26
Quadrant Televenture,+5.26
Heritage Foods,+5.16
WEP Solutions,+5.13
SSPDL Ltd.,+5.10
Alicon Castalloy,+5.10
MOIL Ltd.,+5.07
Ekam Leasing & F,+5.00
Sumeru Industries Lt,+5.00
Guj. Raffia Indu,+4.98
Deccan Polypacks,+4.93
Alexander Stamps,+4.90
Tribhovandas Bhimji,+4.86
Gujarat Fluorochem,+4.86
SBI,+4.86
Odyssey Technolo,+4.83
Schaeffler India,+4.82
CL Educate,+4.79
Amradeep Industries,+4.76
Winsome Brewerie,+4.76
Beryl Drugs Ltd.,+4.75
VMS Industries Ltd.,+4.74
Mangalam Seeds,+4.73
Jatalia Global Vent,+4.71
TCI Industries L,+4.70
Rathi Bars Ltd.,+4.69
Sundaram Finance,+4.67
Cosmo Ferrites,+4.65
Svaraj Trd & Age,+4.64
McNally Bharat E,+4.64
MarathonNextgenRea,+4.61
Autoline Industries,+4.59
Anjani Synthetic,+4.56
JHS Svendgaard Labor,+4.55
Smiths & Founders,+4.55
Nicco Parks & Re,+4.52
Biocon,+4.51
Apoorva Leasing Fina,+4.49
Scooters India,+4.49
Arshiya,+4.47
Repco Home Finance L,+4.47
Morarka Finance,+4.40
The Anup Engineering,+4.38
Bandhan Bank,+4.38
Ruchi Infrastructure,+4.38
Schneider Electric,+4.38
Modern India,+4.37
SAL Steel,+4.37
Innovassynth Investm,+4.35
Piccadily Agro I,+4.35
Indian Infotech,+4.35
TGB Banquets,+4.34
ISMT Ltd.,+4.30
Steel ExchangeIndia,+4.30
Indosolar Ltd.,+4.29
Lasa Supergenerics,+4.27
Mehai Technololgy,+4.22
Kansai Nerolac Paint,+4.22
Maan Aluminium Ltd.,+4.20
Granules India L,+4.19
Classic Global Fin,+4.17
Cindrella Hotels,+4.17
Omkar Speciality Che,+4.15
Zicom Electronic,+4.13
KCL Infra Projects,+4.05
Zeal Aqua,+4.04
Ganesh Housing,+4.02
Wires and Fabriks (S,+4.00
Gokak Textiles,+4.00
BCL Enterprises,+3.93
Vintron Informat,+3.90
PTC Industries,+3.86
Lahoti Overseas,+3.85
Gemstone Invest,+3.85
Weizmann,+3.83
Pitti Engineering,+3.82
Chordia Food Product,+3.75
Deccan Gold Mines,+3.74
Artemis Electricals,+3.74
Sportking India,+3.72
UFO Moviez India Ltd,+3.72
Valiant Communic,+3.70
Colorchips New Media,+3.68
Chemtech Industrial,+3.66
Golkunda Diamond,+3.65
Ind Bank Housing,+3.65
Syschem (India),+3.63
Sibar Auto Parts,+3.59
Upasana Finance,+3.58
Sharika Enterprises,+3.57
Pranavaditya Spi,+3.57
Ashapura Min. Lt,+3.53
UPL,+3.47
Alchemist,+3.45
Calcom Vision,+3.45
Pil Italica Lifestyl,+3.44
Bharti Airtel,+3.43
West Coast Paper,+3.42
Safari Indus.,+3.41
Religare Enterprises,+3.38
Visa Steel,+3.38
Crown Tours,+3.36
Guj. Alkalie & C,+3.36
Dyna Vision,+3.35
Ahluwalia Contra,+3.34
Tuni Textile Mil,+3.33
Zenlabs Ethica,+3.27
Hindustan Media Vent,+3.27
Fomento Resorts,+3.26
Kohinoor Foods Ltd.,+3.26
IndiaMART InterMESH,+3.23
InterGlobe Aviation,+3.23
Joonktollee Tea,+3.23
Modern Dairies,+3.19
Modex Internatio,+3.17
B C Power Controls L,+3.17
IO System Ltd.,+3.13
Tirupati Starch,+3.13
Lakshmi Machines,+3.10
Dhanlaxmi Bank,+3.09
Roopa Industries,+3.04
Century Plyboards,+3.03
Galaxy Cloud Kitchen,+2.99
Virat Crane Indu,+2.97
Royale Manor Hot,+2.97
Aegis Logistics Ltd.,+2.96
Nxtdigital L,+2.87
Soma Textiles,+2.85
Oberoi Realty,+2.85
DLF Ltd.,+2.85
Magma Fincorp Ltd.,+2.83
BAG Films & Media,+2.82
HIL,+2.80
B N Rathi Securities,+2.76
Vedavaag Systems,+2.75
Kapil Raj Finance,+2.75
Five X Tradecom,+2.70
Garnet Construct,+2.68
Mercantile Ventures,+2.68
Fervent Synergies L,+2.63
PNB Gilts Ltd.,+2.61
TV Today Network Ltd,+2.54
Force Motors,+2.52
Sun Retail,+2.50
Bampsl Securitie,+2.47
Norris Medicines,+2.46
NMDC Ltd.,+2.44
Shriram City Uni,+2.44
Container Corpor,+2.41
Space Incubatrics,+2.38
Gala Global Products,+2.38
Shriram EPC Ltd.,+2.36
Swarnsarita Gems,+2.32
Sobha,+2.32
Sastasundar Ventures,+2.31
Shashijit Infraproje,+2.27
Sharda Ispat Ltd,+2.25
Richa Industries Ltd,+2.25
Cantabil Retail Indi,+2.22
Johnson Controls-Hit,+2.21
Artefact Projects Lt,+2.20
Ginni Filaments,+2.17
Zenith Healthcare,+2.16
Vardhman Polytex,+2.15
Jubilant Foodworks L,+2.14
Matrimony.com,+2.13
TVS Srichakra Lt,+2.13
KEI Industries,+2.12
CNI Research Ltd.,+2.11
Nettlinx Ltd.,+2.11
Cyient Ltd.,+2.10
Navkar Builders,+2.10
Kotak Mahindra Bank,+2.09
Kaycee Inds.,+2.07
Sicagen India,+2.06
Incap Ltd.,+2.03
Vardhman Textiles Lt,+2.03
SKIL Infrastructure,+2.02
Tejnaksh Healthcare,+2.00
RBL Bank,+1.99
Ramco Systems Lt,+1.97
AvanceTechnologies,+1.96
Sanblue Corporation,+1.95
Modern Steels,+1.90
