Company,% Change
Manaksia Coated Meta,-11.62
Shirpur Gold Refiner,-11.6
Ras Resorts,-11.59
GNA Axles,-11.55
Windsor Machines,-11.54
Simplex Infrastructu,-11.53
Texmaco Infrastructu,-11.53
Mini Diamonds,-11.52
Shiva Texyarn Ltd.,-11.51
Kamdhenu Ispat,-11.45
Intl. Coveyors,-11.43
Shilpa Medicare L,-11.42
HFCL,-11.37
Dhruv Consultancy,-11.36
IOL Chemicals and Ph,-11.35
ABB Power Products,-11.34
AksharChem (India),-11.27
IFB Agro Indus,-11.26
Nagreeka Exports,-11.26
Titagarh Wagons Ltd.,-11.25
Kopran Ltd,-11.23
GeeCee Ventures,-11.23
Shreyas Shipping & L,-11.22
Ugar Sugar Works,-11.21
Alkali Metals Ltd.,-11.19
BASF India Lt,-11.19
Polyplex Corpn.,-11.18
Advanced Enzyme Tech,-11.18
Borosil L,-11.17
TIL Ltd.,-11.16
Radha Madhav Corpora,-11.11
PMC Fincorp,-11.11
Mold-Tek Technologi.,-11.1
Urja Global,-11.07
Nath Industries,-11.07
Kaya L,-11.04
Aditya Birla Fashion,-11.04
Cimmco,-11.03
Capacit'e Infraproje,-11.02
AMD Industries Ltd.,-10.99
Jindal Poly Films,-10.94
Akashdeep Metal Ind.,-10.94
Sagarsoft (India),-10.93
Reliance Power L,-10.9
Venus Remedies L,-10.89
Deep Industries,-10.87
Sree Rayalaseema Hi-,-10.87
Wheels India Ltd.,-10.85
Shreyas Intermed,-10.83
Terai Tea Compan,-10.83
GTPL Hathway,-10.76
Orient Beverages,-10.73
KSS L,-10.71
Ramchandra Leasing,-10.71
Sulabh Eng.&Ser.,-10.68
Goa Carbons,-10.68
Power Mech Projects,-10.67
Graphite India Ltd.,-10.66
Reliance Chemote,-10.65
Gayatri Highways,-10.64
OnMobile Global Ltd.,-10.61
Akar Auto Industries,-10.61
Apex Frozen Foods,-10.6
Kridhan Infra,-10.58
Dishman Carbogen Amc,-10.54
Radaan Mediaworks(I),-10.53
SundaramBrakeLining,-10.49
Chromatic India,-10.48
Optimus Finance,-10.48
Sasken Technologies,-10.46
Dalmia Bharat Sugar,-10.45
Hind. Oil Explor,-10.45
SMS Pharmaceuticals,-10.45
Opto Circuits India,-10.45
Shankara Building Pr,-10.43
GMM Pfaudler Ltd,-10.41
Ador Welding Ltd.,-10.4
Jindal Hotels,-10.38
Jindal Poly Investme,-10.37
NGL Fine-Chem Li,-10.37
Kkalpana lndustries,-10.34
Aro Granite Indu,-10.33
Ansal Buildwell,-10.33
Crest Ventures,-10.31
Sunshield Chemic,-10.29
Narayana Hrudayalaya,-10.29
Oriental Carbon,-10.28
Snowman Logistics Lt,-10.25
Gravity (India),-10.24
Indoco Remedies,-10.23
Mazda Ltd.,-10.23
Dynacons Systems,-10.21
Vinati Organics,-10.17
Deepak Fertilisers,-10.16
STL Global Ltd.,-10.12
Dhunseri Tea & Indus,-10.12
Gennex Laboratories,-10.12
Ador Fontech Ltd,-10.11
Salasar Techno Engin,-10.11
Agri-Tech (India),-10.11
Poddar Pigments,-10.1
Nikhil Adhesives,-10.1
Arvind Fashions,-10.09
Imagicaaworld Entert,-10.08
Neogen Chemicals,-10.08
Alpa Laboratories Lt,-10.08
IIFL Wealth Manage,-10.07
Premier Explos.,-10.04
MSTC Ltd.,-10.03
Bombay Burmah,-10.02
Autolite (I),-10.02
PPAP Automotive,-10.01
Karuturi Global Ltd.,-10.0
Baid Leasing and,-9.98
Integra Telecom,-9.92
Bajaj Steel Ind.,-9.91
SRG Housing Finance,-9.91
Man Infraconstructio,-9.91
Sabrimala Industries,-9.9
Shree Digvijay,-9.89
Mahindra Lifespace D,-9.88
Arfin India,-9.86
Bharat Dynamics,-9.86
HPL Electric & Power,-9.83
S Chand & Company,-9.83
Meghmani Organics,-9.83
Kirloskar Elect,-9.82
Cosyn L,-9.8
HLE Glasscoat,-9.79
Gujarat Metallic,-9.78
Bank of Maharash,-9.76
Universal Cables,-9.74
Saksoft Ltd.,-9.71
Shiva Global Agro,-9.7
Pennar Industrie,-9.68
Swasti Vinayaka Art,-9.68
Indowind Energy Ltd.,-9.68
Cochin Malabar,-9.67
Paramount Commun,-9.64
Sankhya Info,-9.64
Ester India,-9.62
Ajanta Pharma Lt,-9.62
Paushak Ltd.,-9.6
Best Agrolife,-9.59
Surya Roshni Ltd,-9.58
Kilpest India Lt,-9.58
I G Petrochemicals,-9.58
Waterbase Ltd.,-9.57
Astron Paper & Board,-9.57
Ambition Mica,-9.56
KM Sugar Mills,-9.55
BCL Industries,-9.54
Rupa & Company L,-9.54
Dhanuka Agritech Ltd,-9.54
Manaksia Aluminium,-9.53
Shivalik Rasayan,-9.53
H P Cotton Textiles,-9.52
RPG Life Sciences,-9.52
Majestic Research Se,-9.52
Nahar Poly Films Ltd,-9.52
Nilkamal Ltd.,-9.51
Black Rose Industrie,-9.5
V Mart Retail,-9.5
Makers Lab.,-9.49
Mayur Uniquoters,-9.49
Aban Offshore,-9.48
Sarla Performance Fi,-9.47
Sharda Motor Ind,-9.46
CCL Products India,-9.45
Bharat Immunolog,-9.44
Astec Lifesciences L,-9.42
Ruchira Papers Ltd.,-9.42
Continental Petr,-9.41
Dollar Industries,-9.41
Pritish Nandy Comm.,-9.4
AYM Syntex,-9.4
Mukta Agriculture,-9.4
Orient Abrasives,-9.39
Bharat Bhushan Fin.,-9.38
Universal Starch,-9.38
Menon Bearings L,-9.38
Oil Country Tub.,-9.38
Filatex Fashions,-9.38
Panth Infinity,-9.36
Shemaroo Entertainme,-9.36
7NR Retail Ltd.,-9.35
Agarwal Industrial C,-9.35
Elango Industrie,-9.35
Mangalam Cement,-9.34
Avonmore Capital,-9.32
KRBL Ltd.,-9.31
Energy Developme,-9.31
KCP Ltd.,-9.31
Welcon International,-9.29
Haryana Capfin Ltd.,-9.29
Mohit Paper Mill,-9.25
Hathway Bhawani Cabl,-9.24
Dynemic Products,-9.23
SITI Networks,-9.23
Himadri Speciality,-9.22
Albert David Ltd,-9.21
Starline Precious St,-9.21
Sandur M & I Ore,-9.2
Tarmat L,-9.2
Atlanta Ltd.,-9.14
Ritesh Properties &,-9.14
Netripples Software,-9.14
Dalal Street Inv,-9.13
Pee Cee Cosma,-9.13
Shri Jagdamba Poly,-9.12
Williamson Magor,-9.11
Maxheights Infra,-9.09
Gammon Infrastructur,-9.09
IL&FS Engineering,-9.09
Digjam L,-9.06
Maestros Electronics,-9.04
Eris Lifesciences,-9.03
Vama Industries Ltd.,-9.0
Magna Electrocas,-8.99
Nesco Ltd.,-8.98
Veljan Denison,-8.98
Jindal Saw,-8.98
Bhageria Industries,-8.98
Fredun Pharma,-8.94
PI Industries,-8.94
Suraj Products Ltd.,-8.93
SPL Industries L,-8.93
PSP Projects,-8.91
Innovative Ideals,-8.91
KSK Energy Ventures,-8.89
Jiya Eco Products Lt,-8.87
Sundaram Clayton,-8.86
Healthcare Global En,-8.81
Visaka Indus.,-8.81
Jindal Drilling,-8.8
Patel Engg. Ltd.,-8.8
Adani Transmission L,-8.78
Tamboli Capital,-8.78
Asahi India Glass,-8.77
Roto Pumps Ltd,-8.74
Sadbhav Engineering,-8.74
Vipul Organics,-8.72
BayerCropscience,-8.72
Nectar Lifesciences,-8.72
Action Construction,-8.71
Mukesh Babu Fina,-8.69
Valiant Organics,-8.69
MCX,-8.68
SKM Egg Produc,-8.67
Godavari Drugs,-8.67
M M Forgings Ltd.,-8.66
BPL Ltd.,-8.64
Aster DM Healthcare,-8.63
eClerx Services,-8.63
Viji Finance,-8.62
Ballarpur Ind.,-8.62
Pokarna Ltd.,-8.59
Swas.Vinay.Synt,-8.57
Archidply Industries,-8.57
Jay Ushin Ltd.,-8.57
Edelweiss Fin. Ser,-8.56
Adani Enterprises Lt,-8.55
Kaveri Seed Company,-8.55
Suprajit Enginee,-8.55
Bhilwara Technical,-8.54
Sutlej Textiles & In,-8.52
TCI Ltd.,-8.5
J Kumar Infraproject,-8.5
Navin Fluorine Inter,-8.48
Bilcare Ltd.,-8.48
Unichem Labs,-8.48
Transformers & Recti,-8.48
Rossari Biotech,-8.47
Sharda Cropchem,-8.47
Indiabulls Real Esta,-8.45
Nila Spaces L,-8.45
Rallis India,-8.45
Cox & Kings Fin,-8.45
Sagar Productions,-8.41
KMC Speciality Hospi,-8.41
Hind Rectifiers,-8.4
Bannari Amman Spinni,-8.4
Ujaas Energy,-8.39
Harita Seating Syst.,-8.38
Acrysil Ltd.,-8.38
Syncom Formul.,-8.38
Minda Industries,-8.37
Porwal Auto Comp,-8.36
Indag Rubber,-8.34
