Company,% Change
Crestchem Ltd.,+4.83
Affle (India),+4.83
Rap Media,+4.83
Organic Coatings,+4.82
Jayaswal Neco Indust,+4.81
Mayukh Dealtrade,+4.81
Graviss Hospitality,+4.81
Vallabh Steel Lt,+4.81
Goenka Business,+4.80
REC,+4.80
ATV Projects,+4.80
Incap Ltd.,+4.79
Hardcastle & Waud,+4.78
Fermenta Biotech,+4.78
Hindalco Indus.,+4.78
Madhucon Project,+4.78
Amradeep Industries,+4.76
Atharv Enterprises,+4.76
Winsome Brewerie,+4.76
Wallfort Financi,+4.76
Amraworld Agrico Ltd,+4.76
Dyna Vision,+4.75
Speciality Restauran,+4.75
Walchand Peoplefirst,+4.75
Ganga Papers India L,+4.74
Modern Dairies,+4.74
Shah Alloys,+4.74
Chambal Brewerie,+4.73
Jindal Poly Investme,+4.73
Biopac India,+4.72
Mangalam Timber,+4.71
Oceanaa Biotek Ind,+4.71
Jiya Eco Products Lt,+4.71
Modern India,+4.70
Nicco Parks & Re,+4.70
Hanman Fit,+4.70
AI Champdany Industr,+4.70
Parnax Lab L,+4.70
Intec Capital,+4.69
Futuristic Sec.,+4.69
Integrated Tech,+4.69
Mehta Integrated,+4.69
Aishwarya Tech.&Tele,+4.68
Lakshmi Machines,+4.67
Denis Chem Lab L,+4.67
South India Pape,+4.67
Welspun Specialty,+4.67
Shree Karthik Pa,+4.66
Gokak Textiles,+4.66
W S Industries,+4.66
India Steel Works Lt,+4.65
Guj. Craft Indus,+4.65
M P Agro Industries,+4.63
Pasari Spinning,+4.62
Konark Synthetic,+4.62
Ballarpur Ind.,+4.61
MosChip Technologies,+4.61
Upasana Finance,+4.61
Harrisons Malaya,+4.60
Galaxy Bearings,+4.60
Shiva Granito Export,+4.59
Sarda Energy & Miner,+4.59
Alps Industries,+4.58
Cenlub Industrie,+4.57
Melstar Inform.,+4.56
Asian Granito India,+4.56
Supremex Shine Steel,+4.55
Glittek Granites,+4.55
KG Petrochem Ltd.,+4.54
Sejal Glass,+4.53
Khoday India,+4.53
RPG Life Sciences,+4.52
Galada Power & T,+4.52
Shreevatsaa Fina,+4.52
Indian Sucrose L,+4.50
LancorHoldings Ltd,+4.50
Jagatjit Ind.,+4.49
Diamond Power Infras,+4.49
Triveni Eng.&Ind.Ltd,+4.49
SMIFS Capital Ma,+4.48
VIP Indus.,+4.48
Monarch Networth Cap,+4.47
Vishwaraj Sugar Ind,+4.47
Coral Labs.,+4.47
KM Sugar Mills,+4.46
Pankaj Piyush Trade,+4.45
TCPL Packaging,+4.44
Pankaj Polymers,+4.44
Kaycee Inds.,+4.42
W H Brady & Co.,+4.42
Utique Enterprises,+4.42
Radhagobind Commerci,+4.42
Bajaj Finance L,+4.42
Essar Securities,+4.41
Gillanders Arbut,+4.40
Choksi Imaging,+4.40
Lancer Container Lin,+4.40
Elixir Capital,+4.37
IDFC L,+4.36
Adani Gas,+4.36
Mohit Industries,+4.35
SEL Manufacturing Co,+4.35
Deep Diamond India,+4.35
Real Touch Finance,+4.34
Unick Fix-A-Form,+4.33
Cholamandalam Invest,+4.33
S & S Power Switch,+4.30
VBC Ferro Allo,+4.30
CIL Securities L,+4.29
Chordia Food Product,+4.27
Inox Wind Ltd.,+4.27
GayatriSugars,+4.26
Euro Multivision,+4.26
Anjani Finance Ltd.,+4.26
Citadel Realty & Dev,+4.26
Scanpoint Geomatics,+4.25
KMF Builders & D,+4.24
Neueon Towers,+4.23
India Home Loan,+4.22
Manorama Industries,+4.22
Pro Fin Capital Serv,+4.22
Ambalal Sarabhai,+4.22
Ramco Industries,+4.20
Sainik Finance & Ind,+4.19
Lumax Inds.,+4.18
Sharda Ispat Ltd,+4.18
Ashiana Agro Ind,+4.17
Navketan Merchants,+4.17
Usha Martin Educatio,+4.17
Gothi Plascon,+4.17
Reliance Com,+4.15
CMI L,+4.14
Sibar Auto Parts,+4.12
Zenith Steel Pipes,+4.12
Tilaknagar Industrie,+4.10
Indl.&Prud.Invst,+4.09
Divi's Lab,+4.09
NEL Holdings,+4.08
IndiaMART InterMESH,+4.08
Crisil,+4.05
Vertex Securitie,+4.04
Steel Authority,+4.02
Transpek Indus.,+4.02
Kalpataru Power,+4.02
Adani Power Ltd.,+4.02
Goenka Diamond & Jew,+4.00
Master Trust Ltd.,+4.00
Avadh Sugar & Energy,+3.96
Shri Dinesh Mill,+3.96
ADF Foods Ltd.,+3.94
Asian Paints Ltd.,+3.93
Simbhaoli Sugars,+3.93
Vakrangee,+3.92
Tranway Technologies,+3.90
Victory Paper &,+3.90
Waa Solar,+3.90
Landmark Property De,+3.90
Insecticides (India),+3.90
Bal Pharma Ltd,+3.89
Apoorva Leasing Fina,+3.87
MOIL Ltd.,+3.86
KDDL Ltd.,+3.86
City Union Bank,+3.85
Paisalo Digital L,+3.84
Prakash Pipes,+3.82
Tata Steel,+3.82
Beekay Steel Indus,+3.82
Bajaj HindusthanSuga,+3.82
Jain Irrigation,+3.81
B L Kashyap & Sons,+3.80
Cupid Ltd.,+3.78
Dhampur Sugar,+3.78
MothersonSumiSystems,+3.78
Ebixcash World Money,+3.77
Steel Strips Wheels,+3.77
Banco Products,+3.77
Shalimar Wires Ind.,+3.77
National Alumini,+3.77
Hawa Engineers L,+3.75
Kalyani Forge,+3.75
Safari Indus.,+3.73
RDB Realty & Infrast,+3.72
TTK Prestige L,+3.71
Sunflag Iron,+3.70
Tata Steel BSL,+3.70
P&G Health,+3.69
Varun Beverages Ltd.,+3.67
Calcom Vision,+3.64
Intl. Travel Hou,+3.63
Diamines & Chem.,+3.62
Daikaffil Chemic,+3.61
Kinetic Engg.,+3.61
Power Finance Co,+3.61
Talbros Auto.,+3.61
Vimta Labs Ltd.,+3.58
Glenmark Pharma,+3.54
Panasonic Energy Ind,+3.54
Cipla,+3.53
NTPC,+3.52
BEML Ltd.,+3.52
Granules India L,+3.48
Kiran Vyapar,+3.45
Alchemist Realty,+3.45
Sunteck Realty Ltd.,+3.44
Manappuram Finance,+3.41
Kriti Nutrients,+3.40
National Fittings,+3.39
Tyche Industries,+3.39
Hind. Oil Explor,+3.38
Basant Agro Tech,+3.38
ANG Lifesciences Ind,+3.37
Websol Energy System,+3.36
Tirupati Sarjan,+3.35
Mallcom (India) L,+3.33
Tuni Textile Mil,+3.33
Sun TV Network Ltd.,+3.31
Sterlite Technologie,+3.30
Natco Pharma,+3.29
Amber Enterprises,+3.28
KCP Sugar & In,+3.26
Genus Power Infrastr,+3.25
Jubilant Foodworks L,+3.24
HMT Ltd.,+3.24
Bharat Road Network,+3.23
ISGEC Heavy Eng,+3.21
Viceroy Hotels L,+3.20
Tanfac Inds.,+3.20
Kewal Kiran Clothing,+3.18
HG Infra Engineering,+3.18
RDB Rasayans Ltd.,+3.18
Khandwala Securi,+3.17
Lakshmi Elect.,+3.17
Vivanta Industries,+3.17
Andhra Petro,+3.15
Dynemic Products,+3.13
G V Films,+3.13
Menon Bearings L,+3.12
Marg Ltd.,+3.11
ADC India Communicat,+3.10
Bombay Rayon Fashion,+3.09
Mehai Technololgy,+3.09
Mas Financial Servic,+3.07
Veer Energy & Infras,+3.07
Zeal Aqua,+3.06
Mukta Agriculture,+3.05
Prestige Estates Pro,+3.05
SVP Global Ventures,+3.04
PG Electroplast Ltd.,+3.03
Centum Electronics L,+3.01
Udaipur Cement Works,+3.01
Zuari Global,+2.99
Arvind Ltd.,+2.99
TGV SRAAC,+2.99
West Coast Paper,+2.98
Hind Aluminium Indus,+2.98
Frontier Springs,+2.95
Prime Focus,+2.94
IOL Chemicals and Ph,+2.94
Lakshmi Mill Co.,+2.93
Atul Ltd.,+2.92
Cantabil Retail Indi,+2.92
Tata Consumer Produc,+2.92
Integra Engineering,+2.91
Permanent Mag.,+2.89
Megastar Foods,+2.88
Godrej Industries Lt,+2.87
VTM Ltd.,+2.87
Apollo Hospitals,+2.85
Saboo Sodium Ch,+2.85
Berger Paints I,+2.84
Dabur India,+2.83
Crown Tours,+2.83
Shilchar Technologie,+2.83
IL&FS Engineering,+2.83
Century Plyboards,+2.82
Cords Cable Industri,+2.82
Can Fin Homes,+2.82
Bimetal Bear.,+2.81
GHCL,+2.81
Sampre Nutrition,+2.81
SBI,+2.80
PTL Enterprises,+2.79
United Spirits,+2.78
Bajaj Finserv Ltd.,+2.78
Capital Trust Lt,+2.77
Brooks Laboratories,+2.77
Aarti Drugs Ltd,+2.76
Godawari Power & Isp,+2.75
Uttam Sugar Mills,+2.75
Gokaldas Exports,+2.73
Dredging Corpora,+2.72
Deepak Nitrite,+2.72
Mahindra Holidays,+2.72
Kirloskar Ferrou,+2.71
Pentamedia Graph,+2.70
OK Play India Ltd.,+2.70
Mega Corporation,+2.70
Kuber Udyog L,+2.70
Mangalam Industrial,+2.70
Kesar Enterprise,+2.70
Jeevan Scientific,+2.70
KIC Metaliks,+2.70
Vedanta,+2.68
Hindustan Media Vent,+2.68
KEI Industries,+2.67
PVV Infra,+2.67
Lupin Ltd.,+2.64
Swadeshi Industr,+2.63
Jagjanani Textiles L,+2.63
Asso. Alcohols,+2.63
Kome-on Communic,+2.63
G G Engineering,+2.62
CESC Ltd.,+2.62
Emkay Global Financi,+2.61
Max Financial Servic,+2.60
Kushal L,+2.60
SE Power,+2.59
Duncan Engineering,+2.59
Zydus Wellness Ltd.,+2.58
Fairchem Speciality,+2.57
Sir Shadilal Ent,+2.56
The Ramco Cements,+2.56
National Fertilizers,+2.56
Greenlam Industries,+2.56
Delton Cables,+2.55
AK Capital Services,+2.54
Eveready Industr,+2.54
Kohinoor Foods Ltd.,+2.53
DFM Foods Limi,+2.53
Mawana Sugars Ltd.,+2.51
Multibase India Ltd.,+2.51
PBM Polytex,+2.50
Alliance Integrated,+2.50
Magadh Sugar & Energ,+2.50
Mindteck (India),+2.49
Alkem Laboratories,+2.49
Greenply Industr,+2.48
I P Rings Ltd.,+2.48
Kabra Extrusion,+2.47
Alembic Ltd.,+2.46
SundaramBrakeLining,+2.45
Vanta Bioscience,+2.45
EID Parry,+2.44
Aries Agro Ltd.,+2.43
Pix Transmission,+2.43
Damodar Industries,+2.42
Torrent Power Ltd.,+2.42
Dr. Reddy's Labs,+2.42
Kavit Industries,+2.40
Sicagen India,+2.39
Container Corpor,+2.37
Somany Home Innovat,+2.37
Dr. Lal Pathlabs Ltd,+2.37
Alkyl Amines Che,+2.37
Eco Recycling,+2.35
Shirpur Gold Refiner,+2.34
Diana Tea Compan,+2.34
Kush Industries,+2.33
RCI Industries & Tec,+2.33
Jyothy Labs,+2.32
Marksans Pharma,+2.30
Electrosteel Cas,+2.29
Federal-Mogul Goetze,+2.28
B&A Ltd.,+2.28
Goodyear India,+2.28
Virat Crane Indu,+2.27
Milk Food,+2.26
Selan Exploratio,+2.25
Srikalahasthi Pipes,+2.25
Suryalakshmi Cot,+2.25
Escorts Ltd.,+2.24
DCW Ltd.,+2.24
Inox Leisure,+2.24
Sanghi Industrie,+2.24
SRF Ltd.,+2.24
Chemfab Alkalis,+2.24
Torrent Pharmac,+2.22
