Company,% Change
Lakshmi Auto Lm.,-4.93
Sadbhav Engineering,-4.93
MBL Infrastructures,-4.93
ISMT Ltd.,-4.93
California Softw,-4.93
S Chand & Company,-4.93
Ras Resorts,-4.92
Starlog Enterprises,-4.92
Oil Country Tub.,-4.92
Envair Electrodyne,-4.92
HDIL,-4.91
Alpine Hous.Dev.,-4.91
Innovassynth Investm,-4.91
Roopa Industries,-4.91
Harish Textile Engin,-4.91
RattanIndia Infra,-4.91
Talwalkars Healthclu,-4.91
Bartronics India Ltd,-4.91
Brady & Morris E,-4.9
Refnol Resins &,-4.9
Wanbury,-4.9
Phoenix Intl.,-4.9
Coromandel Engg.,-4.9
Atlanta Ltd.,-4.9
Kanani Industries Lt,-4.9
Vikas Ecotech L,-4.9
Manaksia Coated Meta,-4.9
Sharp India,-4.9
Phaarmasia Ltd.,-4.9
IMEC Services,-4.9
MPDL,-4.89
Dhanvantri Jeeva,-4.89
Parsvnath Developers,-4.89
Athena Global Techno,-4.89
Mini Diamonds,-4.89
Alok Industries Ltd.,-4.89
NRB Industrial Beari,-4.89
Cinevista L,-4.89
Mukand Ltd.,-4.89
Darshan Orna,-4.89
Indokem Ltd.,-4.89
Lykis L,-4.88
TCI Finance,-4.88
CG-VAK Software,-4.88
Cimmco,-4.88
Meglon Infra-Real (I,-4.88
Sybly Industries Ltd,-4.88
Williamson Magor,-4.88
Super Spinning,-4.88
Poona Dal & Oil,-4.88
Batliboi Ltd.,-4.88
Sanwaria Consumer,-4.87
McNally Bharat E,-4.87
Elegant Floricul,-4.87
Hexa Tradex Ltd.,-4.87
Shree Rama Multi,-4.87
Autoline Industries,-4.87
Cella Space Ltd.,-4.87
JHS Svendgaard Labor,-4.87
K K Fincorp,-4.87
Reliance Capital,-4.87
FAZE THREE Autofab,-4.87
Uniply Decor,-4.87
Yogi Infra Projects,-4.87
Shree Pacetronix,-4.86
Country Club Hospita,-4.86
Vivid Global Industr,-4.86
Somi Conveyor Beltin,-4.86
Optimus Finance,-4.86
Transformers & Recti,-4.86
Adhunik Industries,-4.86
McLeod Russel,-4.86
Inspirisys Solutions,-4.85
MarathonNextgenRea,-4.85
Phyto Chem (Indi,-4.85
Lloyds Metals & Ener,-4.85
BAG Films & Media,-4.85
SITI Networks,-4.84
Allied Digital Servi,-4.84
Sri KPR Industries,-4.84
Akashdeep Metal Ind.,-4.84
Parabolic Drugs Ltd.,-4.84
Talwalkars Better Va,-4.84
Cindrella Hotels,-4.84
Dishman Carbogen Amc,-4.83
Bharat Bhushan Fin.,-4.83
Supreme Holdings,-4.82
Prakash Wool.& Syn.,-4.82
Hubtown,-4.82
Padmalaya Tele,-4.82
Shriram EPC Ltd.,-4.82
Wockhardt Ltd.,-4.82
Bharti Infratel Ltd.,-4.82
Shree Precoated Stee,-4.82
Mercator Ltd.,-4.81
Gennex Laboratories,-4.81
Rolta India,-4.81
Vikas Multicorp,-4.8
Velan Hotels Lim,-4.79
Saboo Brothers L,-4.79
Ishita Drugs & I,-4.79
Novateor Research,-4.79
SAL Steel,-4.79
Paramount Cosmet,-4.78
Golkunda Diamond,-4.78
Ortin Laborator.,-4.78
Kisan Mouldings,-4.76
Pan India Corporatio,-4.76
Chandra Prabhu I,-4.76
Narbada Gems & Jewel,-4.76
Gorani Industrie,-4.76
Wires and Fabriks (S,-4.76
3i Infotech,-4.76
Essar Shipping,-4.74
Xpro India Ltd.,-4.74
Hilton Metal Forging,-4.74
Rasandik Engg.,-4.74
Saffron Industries L,-4.73
Dhanlaxmi Fabric,-4.73
IST Ltd.,-4.73
Rishabh Digha St,-4.72
Orient Press Ltd,-4.72
Sumeet Industrie,-4.72
Helpage Finlease,-4.72
Prima Agro Ltd.,-4.72
Shelter Infra,-4.71
Gemstone Invest,-4.71
Baba Arts,-4.7
Looks Health Service,-4.7
Arcotech Ltd.,-4.68
Urja Global,-4.68
Starlite Compone,-4.68
IL&FS Transportation,-4.67
Majestic Research Se,-4.66
Sintex Industrie,-4.65
Onelife Capital Adv,-4.65
Syncom Formul.,-4.65
Excel Realty N Infra,-4.65
KSK Energy Ventures,-4.65
Venus Remedies L,-4.64
BPL Ltd.,-4.63
Seasons Furnishi,-4.63
Zim Laboratories,-4.63
Lehar Footwears,-4.62
Zicom Electronic,-4.62
Chowgule Steam.,-4.61
Mafatlal Ind,-4.6
AtlasCycles(Haryana),-4.6
Indosolar Ltd.,-4.58
Ugro Capital,-4.57
Patel Integrated Log,-4.56
Manaksia Steels,-4.56
Vipul Organics,-4.56
Wendt India,-4.56
Maxheights Infra,-4.55
Navkar Builders,-4.55
Jaiprakash Power Ven,-4.55
Odyssey Corporation,-4.55
Viaan Industries,-4.55
Prima Industries,-4.55
Innovators Facade Sy,-4.53
India Lease,-4.53
Ashika Credit Cap.,-4.52
Jet Airways,-4.51
Restile Ceramics,-4.5
Emco Ltd.,-4.49
Cox & Kings L,-4.49
Radaan Mediaworks(I),-4.49
Maruti Infrastru,-4.49
C & C Constructions,-4.48
Avantel Ltd.,-4.47
Binny Ltd.,-4.46
Haria Exports Li,-4.44
Educomp Solutions,-4.43
Ravi Kumar Distiller,-4.43
Dhunseri Ventures,-4.43
Nishtha Fin. & Inv.,-4.42
Carnation Indust,-4.42
Cox & Kings Fin,-4.41
Nila Spaces L,-4.41
Reliance Power L,-4.39
Rama Steel Tubes Ltd,-4.39
Sundaram Multi P,-4.38
Virat Industries,-4.38
Indoco Remedies,-4.37
Poddar Pigments,-4.36
Amrit Corp. Ltd.,-4.36
Indowind Energy Ltd.,-4.35
Maharashtra Corp,-4.35
Mohit Paper Mill,-4.35
TTI Enterprise Ltd.,-4.35
Minaxi Textiles,-4.35
CSL Finance,-4.34
Expleo Solutions,-4.34
Orient Beverages,-4.34
Narayana Hrudayalaya,-4.33
Ashirwad Capital,-4.31
Indo Amines Limi,-4.3
Rollatainers Ltd,-4.3
SPML Infra,-4.3
Oswal Green Tech,-4.3
CLC Industries,-4.29
FGP Ltd.,-4.27
Jaysynth Dystuff,-4.26
Blue Chip Tex In,-4.26
Hind. Organi,-4.26
Dolfin Rubbers,-4.26
Bedmutha Industries,-4.26
Eastern Silk Indust.,-4.26
Vinyoflex Li,-4.25
Ashiana Housing Ltd.,-4.25
Endurance Technologi,-4.25
Agri-Tech (India),-4.25
AVT Natural Prod,-4.24
Caprolactam Chemical,-4.23
HEG Ltd.,-4.23
James Warren Tea,-4.23
Gajra Bevel Gear,-4.23
IntegratedFinSer,-4.21
ZF Steering Gear,-4.19
Arvind Fashions,-4.19
Indiabulls Integrate,-4.19
Dolphin Medical,-4.17
Hazoor Multi Project,-4.17
Vijay Textiles L,-4.17
Tree House Education,-4.16
Leading Leasing Fin,-4.16
Kothari Ferment.,-4.16
Tinna Rubber and Inf,-4.15
Focus Suites Solutio,-4.14
Maximus Intl.,-4.14
Bihar Sponge,-4.11
Automotive Stampings,-4.11
Virinchi L,-4.1
WABCO India,-4.09
Chromatic India,-4.08
Unitech Ltd.,-4.07
Shakti Pumps (In,-4.05
PSL Ltd.,-4.05
Vikas Proppant & Gra,-4.04
Photon Capital Advis,-4.04
Mahanagar Gas,-4.01
Ansal Housing L,-4.0
JVL Agro Industries,-4.0
Devhari Exports,-4.0
Wintac Ltd.,-3.98
Lyka Labs,-3.98
Agio Paper & Industr,-3.97
Capri Global Capital,-3.97
N G Industries Ltd.,-3.97
63 Moons Technologie,-3.96
Resonance Spec.,-3.94
Kkalpana lndustries,-3.94
Man Industries I,-3.94
Vas Infrastructure L,-3.93
B C Power Controls L,-3.87
Manaksia Aluminium,-3.87
Niraj Cement Structu,-3.86
Forbes & Company Ltd,-3.86
Andrew Yule & Co,-3.86
Kernex Microsystems,-3.86
Keltech Energies,-3.85
Ramchandra Leasing,-3.85
KSS L,-3.85
Uttam Value Steels,-3.85
Unjha Formulatio,-3.85
Link Pharma Chem,-3.84
Aditya Birla Fashion,-3.83
Shervani Ind.Syn,-3.83
Voltamp Transformers,-3.82
PTC Industries,-3.81
JITF Infralogistics,-3.81
Bajaj Electricals,-3.8
Kirloskar Elect,-3.79
B P Capital Ltd.,-3.79
ABC India Ltd.,-3.78
Veljan Denison,-3.78
Modi Naturals,-3.75
V Mart Retail,-3.74
Joindre Capital,-3.74
Triveni Turbine,-3.74
Dhunseri Tea & Indus,-3.74
Metropolis Healthcar,-3.72
D & H India,-3.7
Emmbi Industries,-3.7
Bank of India,-3.69
Hindustan Aeronautic,-3.69
Sumedha Fiscal S,-3.68
ARSS Infrastructure,-3.68
Shree Pushkar Chemic,-3.67
Sayaji Hotels Lt,-3.67
Suraj,-3.65
Dhanalaxmi Roto,-3.65
Maximaa Systems,-3.64
Viji Finance,-3.64
Ashoka Metcast,-3.64
Ravindra Energy Ltd.,-3.62
Tantia Constructions,-3.62
Rushil Decor Ltd.,-3.61
SPL Industries L,-3.61
Ishan Dyes & Che,-3.6
Vani Commercials,-3.59
Usha Martin Ltd.,-3.58
Conart Engineers,-3.58
Expo Gas Contain,-3.57
Khadim India,-3.57
State Trading,-3.57
Sita Enterprises,-3.57
Freshtrop Fruits,-3.55
Enkei Wheels (India),-3.55
Energy Developme,-3.55
Greenpanel Industrie,-3.54
Vipul Ltd.,-3.54
Saregama India Ltd.,-3.54
Sastasundar Ventures,-3.53
Suncare Traders,-3.53
Ajmera Realty & Infr,-3.53
Vaarad Ventures,-3.51
Racl Geartech,-3.51
Diligent Media Corp,-3.51
Sutlej Textiles & In,-3.51
Thangamayil Jeweller,-3.48
Citi Port Financ,-3.48
Swasti Vinayaka Art,-3.45
Krypton Ind.,-3.45
Vijay Solvex Ltd,-3.44
Prince Pipes & Fitti,-3.43
Salasar Techno Engin,-3.42
Ruchi Soya Inds.,-3.4
SSPDL Ltd.,-3.39
Sundaram Fasten.,-3.39
Vasundhara Rasayans,-3.38
Va Tech Wabag Ltd.,-3.37
K Z Leasing & Financ,-3.36
Take Solutions Ltd.,-3.35
Simplex Infrastructu,-3.35
GFL L,-3.33
Ramgopal Polytex,-3.33
Mirc Electronics,-3.32
Sreeleathers Ltd.,-3.32
RSWM Ltd.,-3.3
Shree Ajit Pulp,-3.29
Tribhovandas Bhimji,-3.29
ONGC,-3.29
Jupiter Infomedia Lt,-3.28
Suprajit Enginee,-3.28
Indo Rama Synth.,-3.28
Sakuma Exports,-3.28
Grandeur Products,-3.28
MSTC Ltd.,-3.27
Salona Cotspin L,-3.27
Baid Leasing and,-3.26
Bilcare Ltd.,-3.26
Birla Tyres,-3.25
RattanIndia Power,-3.25
NoidaTollBridge,-3.24
IZMO,-3.24
Ador Fontech Ltd,-3.23
Dynacons Systems,-3.23
Himachal Fibres,-3.23
DQ Entertainment (In,-3.21
Bosch Ltd.,-3.21
Orissa Minerals Deve,-3.18
Rajkumar Forge,-3.16
SVC Industries,-3.16
RS Software (India),-3.16
Sulabh Eng.&Ser.,-3.16
Capacit'e Infraproje,-3.15
Onward Technolog,-3.15
Kavita Fabrics Ltd.,-3.13
Pokarna Ltd.,-3.13
Puravankara,-3.12
Nila Infrastructures,-3.11
GKP Printing & Pack,-3.11
Banswara Syntex,-3.11
Contil India,-3.1
Sangal Papers Li,-3.1
Healthcare Global En,-3.09
Zenotech Laboratorie,-3.09
Insilco Ltd.,-3.09
Raw Edge Industrial,-3.08
Oricon Enterprises L,-3.08
Asian Hotels (East),-3.06
Star Cement,-3.05
Oriental Trimex,-3.04
PMC Fincorp,-3.03
Vikas WSP,-3.03
Motor & General,-3.03
Advance Metering Tec,-3.02
Radix Industries,-3.01
Sri Havisha Hospital,-2.99
Nitin Fire Protectio,-2.99
Creative Casting,-2.99
MCX,-2.96
Hitech Corporation,-2.96
Tayo Rolls Ltd,-2.95
Hathway Cable & Data,-2.93
Bharat Dynamics,-2.92
Pioneer Investco,-2.92
Prajay Engineers,-2.9
Orient Bell,-2.9
The Indian Card Clot,-2.9
CreditAccess Grameen,-2.88
Mukesh Babu Fina,-2.88
Shankara Building Pr,-2.87
Deepak Spinners,-2.87
GRP L,-2.86
Omansh Enterprises,-2.86
Transwarranty Financ,-2.86
Welspun India,-2.85
Shri Jagdamba Poly,-2.84
Finkurve Financial S,-2.84
Dharamsi Morar.,-2.84
IndiaNivesh,-2.84
Nitco Ltd.,-2.84
Wim Plast Ltd,-2.83
Birla Cable,-2.83
Sanghvi Movers L,-2.83
Indo Thai Securities,-2.82
Magma Fincorp Ltd.,-2.81
Fortis Malar Hospita,-2.79
National Oxygen,-2.79
Gammon Infrastructur,-2.78
Ramsarup Industries,-2.78
Gujarat Gas,-2.77
Deep Industries,-2.76
Shilp Gravures L,-2.76
Bank of Baroda,-2.76
FDC Ltd.,-2.76
IL&FS Investment Man,-2.74
Career Point,-2.74
Transcorp Inter,-2.74
Bodhtree Consulting,-2.73
Unitech Internationa,-2.72
Sandur M & I Ore,-2.72
Aimco Pesticides,-2.71
Jindal Drilling,-2.71
Poddar Housing,-2.71
Karuturi Global Ltd.,-2.7
Mahavir Industries,-2.7
Kesar Terminals & In,-2.7
Bang Overseas Ltd.,-2.7
Kiri Industries,-2.7
Cosmo Films,-2.7
Suryachakra Power Co,-2.7
HCL Infosystem,-2.7
TIL Ltd.,-2.69
T T Ltd.,-2.69
Tips Industries,-2.68
Centrum Capital,-2.68
Astec Lifesciences L,-2.68
Edelweiss Fin. Ser,-2.68
Jai Corp Ltd.,-2.68
Kaya L,-2.67
Satia Industries,-2.67
Welcast Steels,-2.67
JMC Projects,-2.66
Intellect Design,-2.66
Duropack Ltd,-2.65
Cochin Minerals,-2.63
BCL Enterprises,-2.63
M K Exim (India) L,-2.63
KSE,-2.63
Tatia Global Venntur,-2.63
Rane Brake Lining Lt,-2.62
Vardhman Textiles Lt,-2.62
Coral India Finance,-2.62
Oswal Agro Mills,-2.62
Jubilant Industries,-2.61
Compuage Infocom Ltd,-2.57
SREI Infrastructure,-2.57
Minda Industries,-2.57
Grand Foundry,-2.57
GMM Pfaudler Ltd,-2.57
Cineline India,-2.56
Videocon Industries,-2.56
BGR Energy Systems,-2.56
Kakatiya Textile,-2.56
Five X Tradecom,-2.56
Anuh Pharma Ltd,-2.55
Garware Poly.,-2.54
Gokul Agro Resources,-2.53
GRM Overseas,-2.52
IFB Agro Indus,-2.51
Timex Group India,-2.51
Kopran Ltd,-2.51
Neogen Chemicals,-2.51
Rodium Realty L,-2.51
Disa India Ltd.,-2.5
Sadhana Nitro,-2.49
Reliance Chemote,-2.48
GOCL Corporation,-2.48
North Eastern Carry,-2.48
Palred Technologies,-2.47
Reliance Infrastruct,-2.46
Ruby Mills,-2.46
Elnet Technologi,-2.46
JK Agri Genetics Ltd,-2.45
JM Financial Ltd.,-2.45
Porwal Auto Comp,-2.45
Swas.Vinay.Synt,-2.44
Bhandari Hosiery,-2.44
Albert David Ltd,-2.43
Blue Star,-2.43
Mysore Petro.Che,-2.41
Morganite Crucible (,-2.4
SRG Housing Finance,-2.4
Astra Microwave,-2.4
Ind-Swift L,-2.4
Camex Ltd.,-2.39
GNA Axles,-2.39
Time Technoplast Ltd,-2.38
Simplex Castings,-2.38
Mercury Laboratories,-2.38
Castrol India,-2.38
Sun Retail,-2.38
Ansal Buildwell,-2.37
Sheetal Cool Product,-2.36
Choice Internati,-2.36
Brigade Enterprises,-2.35
ITL Industries,-2.35
Reliance Home Fin,-2.35
Kilitch Drugs(I),-2.33
Gayatri Highways,-2.33
Intense Technologies,-2.33
Cambridge Technology,-2.32
Varroc Engineering,-2.32
Apex Frozen Foods,-2.32
JMT Auto Ltd.,-2.31
Polyplex Corpn.,-2.31
Kridhan Infra,-2.31
Jenburkt Pharmac,-2.3
Northern Spirits,-2.3
LGB Forge Ltd.,-2.29
Balaji Telefilms Ltd,-2.29
Grindwell Norton,-2.28
Nilkamal Ltd.,-2.28
Alembic Pharmaceutic,-2.28
Kothari Products,-2.27
Apcotex Industries L,-2.27
Oriental Aromatics,-2.27
Sundaram Clayton,-2.27
Guj. State Finan,-2.27
Innovative Ideals,-2.27
Renaissance Global,-2.26
Ansal Properties & I,-2.25
Camlin Fine Sciences,-2.24
Uniply Industries,-2.24
Dollar Industries,-2.24
Intl. Combustion,-2.24
Strides Pharma Scien,-2.23
Axis Bank Ltd.,-2.23
Signet Industries,-2.23
Coromandel Internati,-2.22
Dhanlaxmi Bank,-2.22
SV Global Mill Ltd.,-2.22
Indiabulls Real Esta,-2.22
Nutraplus India,-2.21
Spencer's Retail,-2.19
